created_at,entry_id,field1,field2,field3,field4
2023-06-01 00:16:15,66,1.127,0.072,1.018,29.53
2023-06-01 00:16:30,67,1.137,0.074,1.118,29.76
2023-06-01 00:16:45,68,1.095,0.037,1.093,29.3
2023-06-01 00:17:00,69,1.133,0.106,1.146,29.27
2023-06-01 00:17:15,70,1.101,0.092,0.97,29.47
2023-06-01 00:17:30,71,1.122,0.049,1.061,29.53
2023-06-01 00:17:45,72,1.123,0.061,1.053,29.49
2023-06-01 00:18:00,73,1.111,0.084,1.184,29.26
2023-06-01 00:18:15,74,1.142,0.111,1.082,29.4
2023-06-01 00:18:30,75,1.094,0.102,1.132,29.12
2023-06-01 00:18:45,76,1.127,0.08,1.271,29.52
2023-06-01 00:19:00,77,1.129,0.08,1.209,29.33
2023-06-01 00:19:15,78,1.102,0.095,1.128,29.67
2023-06-01 00:19:30,79,1.106,0.117,1.114,29.44
2023-06-01 00:19:45,80,1.112,0.116,1.065,29.4
2023-06-01 00:20:00,81,1.159,0.084,1.113,29.61
2023-06-01 00:20:15,82,1.127,0.081,1.168,29.53
2023-06-01 00:20:30,83,1.112,0.108,1.112,29.6
2023-06-01 00:20:45,84,1.12,0.113,1.034,29.24
2023-06-01 00:21:00,85,1.103,0.078,1.155,29.48
2023-06-01 00:21:15,86,1.105,0.096,1.116,29.08
2023-06-01 00:21:30,87,1.114,0.121,1.166,29.55
2023-06-01 00:21:45,88,1.117,0.057,1.132,29.33
2023-06-01 00:22:00,89,1.11,0.091,1.069,29.36
2023-06-01 00:22:15,90,1.101,0.074,1.079,29.54
2023-06-01 00:22:30,91,1.109,0.065,1.023,29.53
2023-06-01 00:22:45,92,1.128,0.075,1.137,29.58
2023-06-01 00:23:00,93,1.116,0.118,1.153,29.36
2023-06-01 00:23:15,94,1.108,0.088,1.066,29.4
2023-06-01 00:23:30,95,1.107,0.111,1.168,29.49
2023-06-01 00:23:45,96,1.127,0.115,1.121,29.31
2023-06-01 00:24:00,97,1.126,0.126,1.123,29.44
2023-06-01 00:24:15,98,1.135,0.087,1.08,29.29
2023-06-01 00:24:30,99,1.135,0.079,1.161,29.4
2023-06-01 00:24:45,100,1.115,0.063,1.161,29.48
2023-06-01 00:25:00,101,1.126,0.075,1.236,29.46
2023-06-01 00:25:15,102,1.129,0.1,1.245,29.28
2023-06-01 00:25:30,103,1.127,0.092,1.082,29.26
2023-06-01 00:25:45,104,1.099,0.079,1.214,29.52
2023-06-01 00:26:00,105,1.129,0.072,1.131,29.16
2023-06-01 00:26:15,106,1.106,0.077,1.172,29.4
2023-06-01 00:26:30,107,1.111,0.116,1.023,29.48
2023-06-01 00:26:45,108,1.137,0.085,1.155,29.31
2023-06-01 00:27:00,109,1.116,0.067,1.186,29.28
2023-06-01 00:27:15,110,1.121,0.109,1.159,29.55
2023-06-01 00:27:30,111,1.132,0.09,1.141,29.13
2023-06-01 00:27:45,112,1.128,0.085,1.17,29.33
2023-06-01 00:28:00,113,1.106,0.075,1.074,29.72
2023-06-01 00:28:15,114,1.13,0.121,1.126,29.4
2023-06-01 00:28:30,115,1.128,0.09,1.071,29.44
2023-06-01 00:28:45,116,1.104,0.094,1.053,29.55
2023-06-01 00:29:00,117,1.141,0.112,1.167,29.49
2023-06-01 00:29:15,118,1.138,0.086,1.09,29.17
2023-06-01 00:29:30,119,1.124,0.088,1.107,29.47
2023-06-01 00:29:45,120,1.129,0.111,1.161,29.37
2023-06-01 00:30:00,121,1.133,0.089,1.163,29.26
2023-06-01 00:30:15,122,1.126,0.053,1.151,29.42
2023-06-01 00:30:30,123,1.129,0.105,1.131,29.38
2023-06-01 00:30:45,124,1.121,0.095,1.211,29.6
2023-06-01 00:31:00,125,1.102,0.099,1.068,29.34
2023-06-01 00:31:15,126,1.122,0.062,1.126,29.33
2023-06-01 00:31:30,127,1.117,0.092,1.07,29.34
2023-06-01 00:31:45,128,1.093,0.079,1.077,29.49
2023-06-01 00:32:00,129,1.125,0.062,1.021,29.36
2023-06-01 00:32:15,130,1.131,0.129,1.203,29.48
2023-06-01 00:32:30,131,1.135,0.092,1.123,29.25
2023-06-01 00:32:45,132,1.092,0.095,1.107,29.39
2023-06-01 00:33:00,133,1.128,0.105,1.122,29.35
2023-06-01 00:33:15,134,1.105,0.084,1.138,29.3
2023-06-01 00:33:30,135,1.121,0.044,1.054,29.37
2023-06-01 00:33:45,136,1.123,0.133,1.219,29.6
2023-06-01 00:34:00,137,1.148,0.08,1.187,29.31
2023-06-01 00:34:15,138,1.112,0.052,1.057,29.55
2023-06-01 00:34:30,139,1.101,0.073,1.162,29.2
2023-06-01 00:34:45,140,1.123,0.11,1.129,29.52
2023-06-01 00:35:00,141,1.125,0.058,1.116,29.2
2023-06-01 00:35:15,142,1.149,0.099,1.209,29.43
2023-06-01 00:35:30,143,1.12,0.134,1.158,29.54
2023-06-01 00:35:45,144,1.126,0.09,1.101,29.5
2023-06-01 00:36:00,145,1.118,0.103,1.139,29.46
2023-06-01 00:36:15,146,1.135,0.062,1.169,29.48
2023-06-01 00:36:30,147,1.116,0.052,1.094,29.45
2023-06-01 00:36:45,148,1.117,0.104,1.186,29.2
2023-06-01 00:37:00,149,1.122,0.111,1.21,29.44
2023-06-01 00:37:15,150,1.099,0.036,1.055,29.32
2023-06-01 00:37:30,151,1.106,0.091,1.102,29.53
2023-06-01 00:37:45,152,1.115,0.102,1.153,29.18
2023-06-01 00:38:00,153,1.134,0.107,1.069,29.46
2023-06-01 00:38:15,154,1.13,0.073,1.079,29.22
2023-06-01 00:38:30,155,1.123,0.062,1.221,29.6
2023-06-01 00:38:45,156,1.119,0.095,1.195,29.33
2023-06-01 00:39:00,157,1.117,0.118,1.14,29.43
2023-06-01 00:39:15,158,1.113,0.068,1.125,29.32
2023-06-01 00:39:30,159,1.117,0.065,1.142,29.42
2023-06-01 00:39:45,160,1.117,0.091,1.191,29.38
2023-06-01 00:40:00,161,1.107,0.08,1.151,29.38
2023-06-01 00:40:15,162,1.108,0.077,1.122,29.24
2023-06-01 00:40:30,163,1.107,0.077,1.181,29.39
2023-06-01 00:40:45,164,1.117,0.095,0.955,29.27
2023-06-01 00:41:00,165,1.105,0.081,1.142,29.2
2023-06-01 00:41:15,166,1.107,0.084,1.017,29.53
2023-06-01 00:41:30,167,1.12,0.072,1.098,29.43
2023-06-01 00:41:45,168,1.115,0.129,1.043,29.25
2023-06-01 00:42:00,169,1.134,0.098,1.216,29.3
2023-06-01 00:42:15,170,1.107,0.105,1.118,29.31
2023-06-01 00:42:30,171,1.115,0.086,1.16,29.22
2023-06-01 00:42:45,172,1.118,0.116,1.083,29.29
2023-06-01 00:43:00,173,1.124,0.057,1.148,29.41
2023-06-01 00:43:15,174,1.1,0.066,1.177,29.29
2023-06-01 00:43:30,175,1.102,0.106,1.065,29.41
2023-06-01 00:43:45,176,1.12,0.075,1.109,29.25
2023-06-01 00:44:00,177,1.144,0.124,1.06,29.09
2023-06-01 00:44:15,178,1.101,0.047,1.182,29.48
2023-06-01 00:44:30,179,1.113,0.098,1.134,29.43
2023-06-01 00:44:45,180,1.138,0.103,1.011,29.26
2023-06-01 00:45:00,181,1.151,0.074,1.163,29.44
2023-06-01 00:45:15,182,1.132,0.1,1.166,28.95
2023-06-01 00:45:30,183,1.157,0.105,1.101,29.01
2023-06-01 00:45:45,184,1.1,0.103,1.05,29.39
2023-06-01 00:46:00,185,1.126,0.125,1.14,29.3
2023-06-01 00:46:15,186,1.117,0.09,1.065,29.36
2023-06-01 00:46:30,187,1.11,0.089,1.222,29.34
2023-06-01 00:46:45,188,1.114,0.061,1.136,29.02
2023-06-01 00:47:00,189,1.113,0.111,1.079,29.22
2023-06-01 00:47:15,190,1.12,0.064,1.051,29.22
2023-06-01 00:47:30,191,1.133,0.113,1.123,29.43
2023-06-01 00:47:45,192,1.119,0.096,1.005,29.45
2023-06-01 00:48:00,193,1.11,0.081,1.211,29.03
2023-06-01 00:48:15,194,1.132,0.069,1.202,29.1
2023-06-01 00:48:30,195,1.116,0.069,1.073,29.32
2023-06-01 00:48:45,196,1.107,0.074,1.048,29.33
2023-06-01 00:49:00,197,1.107,0.06,1.191,29.25
2023-06-01 00:49:15,198,1.115,0.078,1.138,29.35
2023-06-01 00:49:30,199,1.128,0.108,1.189,29.05
2023-06-01 00:49:45,200,1.121,0.075,1.143,29.4
2023-06-01 00:50:00,201,1.13,0.062,1.216,29.39
2023-06-01 00:50:15,202,1.098,0.079,1.025,29.28
2023-06-01 00:50:30,203,1.122,0.11,1.098,29.31
2023-06-01 00:50:45,204,1.123,0.106,1.179,29.23
2023-06-01 00:51:00,205,1.11,0.08,1.046,29.34
2023-06-01 00:51:15,206,1.116,0.07,1.133,29.06
2023-06-01 00:51:30,207,1.133,0.087,1.283,29.45
2023-06-01 00:51:45,208,1.113,0.104,1.05,29.35
2023-06-01 00:52:00,209,1.114,0.103,1.171,29.08
2023-06-01 00:52:15,210,1.11,0.061,1.143,29.32
2023-06-01 00:52:30,211,1.111,0.1,1.131,29.3
2023-06-01 00:52:45,212,1.116,0.103,1.089,29.1
2023-06-01 00:53:00,213,1.124,0.093,1.13,29.22
2023-06-01 00:53:15,214,1.13,0.105,1.155,28.98
2023-06-01 00:53:30,215,1.106,0.084,1.164,29.31
2023-06-01 00:53:45,216,1.137,0.103,1.112,29.03
2023-06-01 00:54:00,217,1.116,0.079,1.119,29.1
2023-06-01 00:54:15,218,1.13,0.091,1.221,29.28
2023-06-01 00:54:30,219,1.133,0.097,1.105,29.11
2023-06-01 00:54:45,220,1.12,0.079,1.071,29.13
2023-06-01 00:55:00,221,1.117,0.086,1.28,29.3
2023-06-01 00:55:15,222,1.106,0.067,1.142,29.22
2023-06-01 00:55:30,223,1.103,0.117,1.168,29.35
2023-06-01 00:55:45,224,1.116,0.102,1.098,29.2
2023-06-01 00:56:00,225,1.123,0.067,1.142,29.28
2023-06-01 00:56:15,226,1.112,0.106,1.205,29.24
2023-06-01 00:56:30,227,1.109,0.126,1.045,29.07
2023-06-01 00:56:45,228,1.098,0.105,1.144,29.21
2023-06-01 00:57:00,229,1.12,0.108,1.234,29.17
2023-06-01 00:57:15,230,1.116,0.109,1.058,29.33
2023-06-01 00:57:30,231,1.118,0.092,1.112,29.42
2023-06-01 00:57:45,232,1.117,0.067,1.192,29.4
2023-06-01 00:58:00,233,1.126,0.075,1.053,29.22
2023-06-01 00:58:15,234,1.122,0.095,1.154,29.06
2023-06-01 00:58:30,235,1.112,0.071,1.138,29.14
2023-06-01 00:58:45,236,1.121,0.13,1.078,29.31
2023-06-01 00:59:00,237,1.144,0.097,1.071,29.05
2023-06-01 00:59:15,238,1.107,0.101,1.114,29.2
2023-06-01 00:59:30,239,1.129,0.096,0.94,29.21
2023-06-01 00:59:45,240,1.123,0.099,1.069,29.25
2023-06-01 01:00:00,241,1.115,0.075,1.141,28.86
2023-06-01 01:00:15,242,1.136,0.064,1.138,29.24
2023-06-01 01:00:30,243,1.112,0.099,1.016,29.19
2023-06-01 01:00:45,244,1.118,0.075,1.189,29.42
2023-06-01 01:01:00,245,1.12,0.051,1.091,29.14
2023-06-01 01:01:15,246,1.109,0.101,1.186,29.22
2023-06-01 01:01:30,247,1.137,0.111,1.163,29.06
2023-06-01 01:01:45,248,1.112,0.086,1.261,29.52
2023-06-01 01:02:00,249,1.13,0.082,1.094,29.06
2023-06-01 01:02:15,250,1.096,0.082,1.16,29.14
2023-06-01 01:02:30,251,1.102,0.094,1.073,29.24
2023-06-01 01:02:45,252,1.151,0.085,1.076,29.39
2023-06-01 01:03:00,253,1.114,0.12,1.081,29.17
2023-06-01 01:03:15,254,1.12,0.108,1.186,29.17
2023-06-01 01:03:30,255,1.134,0.129,1.19,29.08
2023-06-01 01:03:45,256,1.117,0.052,1.133,29.3
2023-06-01 01:04:00,257,1.107,0.087,1.146,29.2
2023-06-01 01:04:15,258,1.125,0.084,1.033,29.4
2023-06-01 01:04:30,259,1.112,0.116,1.096,29.24
2023-06-01 01:04:45,260,1.149,0.11,1.12,29.26
2023-06-01 01:05:00,261,1.132,0.089,1.127,29.39
2023-06-01 01:05:15,262,1.113,0.079,1.149,29.24
2023-06-01 01:05:30,263,1.128,0.082,1.068,29.34
2023-06-01 01:05:45,264,1.118,0.107,1.113,29.1
2023-06-01 01:06:00,265,1.111,0.07,1.202,29.11
2023-06-01 01:06:15,266,1.128,0.128,1.165,29.19
2023-06-01 01:06:30,267,1.126,0.094,1.069,29.09
2023-06-01 01:06:45,268,1.106,0.071,1.089,29.28
2023-06-01 01:07:00,269,1.119,0.092,1.252,29.36
2023-06-01 01:07:15,270,1.126,0.094,1.063,29.07
2023-06-01 01:07:30,271,1.1,0.079,1.145,29.03
2023-06-01 01:07:45,272,1.119,0.084,1.169,29.11
2023-06-01 01:08:00,273,1.112,0.092,1.025,29.1
2023-06-01 01:08:15,274,1.122,0.084,0.997,29.04
2023-06-01 01:08:30,275,1.133,0.104,1.017,29.1
2023-06-01 01:08:45,276,1.136,0.113,1.057,29.0
2023-06-01 01:09:00,277,1.122,0.064,1.074,29.09
2023-06-01 01:09:15,278,1.102,0.112,1.073,29.23
2023-06-01 01:09:30,279,1.101,0.074,1.123,29.17
2023-06-01 01:09:45,280,1.131,0.109,1.112,29.19
2023-06-01 01:10:00,281,1.126,0.064,1.046,28.98
2023-06-01 01:10:15,282,1.123,0.077,1.157,29.2
2023-06-01 01:10:30,283,1.11,0.067,1.044,29.31
2023-06-01 01:10:45,284,1.123,0.048,1.169,28.97
2023-06-01 01:11:00,285,1.112,0.076,1.119,28.92
2023-06-01 01:11:15,286,1.107,0.058,1.212,29.04
2023-06-01 01:11:30,287,1.115,0.084,1.015,29.24
2023-06-01 01:11:45,288,1.148,0.112,1.109,28.95
2023-06-01 01:12:00,289,1.121,0.08,1.083,29.17
2023-06-01 01:12:15,290,1.133,0.069,1.127,28.9
2023-06-01 01:12:30,291,1.111,0.112,1.012,28.95
2023-06-01 01:12:45,292,1.144,0.121,1.115,28.86
2023-06-01 01:13:00,293,1.138,0.074,1.077,29.0
2023-06-01 01:13:15,294,1.113,0.104,1.027,29.16
2023-06-01 01:13:30,295,1.129,0.103,1.034,28.92
2023-06-01 01:13:45,296,1.139,0.113,1.171,29.04
2023-06-01 01:14:00,297,1.102,0.087,1.144,29.24
2023-06-01 01:14:15,298,1.115,0.108,1.186,29.16
2023-06-01 01:14:30,299,1.115,0.058,1.109,29.22
2023-06-01 01:14:45,300,1.147,0.096,1.137,28.78
2023-06-01 01:15:00,301,1.126,0.084,1.268,29.22
2023-06-01 01:15:15,302,1.116,0.093,1.073,29.1
2023-06-01 01:15:30,303,1.118,0.104,1.142,29.14
2023-06-01 01:15:45,304,1.114,0.089,1.133,28.9
2023-06-01 01:16:00,305,1.134,0.091,1.276,28.95
2023-06-01 01:16:15,306,1.114,0.056,1.114,29.2
2023-06-01 01:16:30,307,1.116,0.086,1.081,28.89
2023-06-01 01:16:45,308,1.124,0.083,1.023,28.77
2023-06-01 01:17:00,309,1.105,0.031,1.191,29.13
2023-06-01 01:17:15,310,1.138,0.066,1.117,28.76
2023-06-01 01:17:30,311,1.109,0.062,1.165,28.91
2023-06-01 01:17:45,312,1.129,0.097,1.149,28.86
2023-06-01 01:18:00,313,1.129,0.087,1.229,28.94
2023-06-01 01:18:15,314,1.118,0.101,1.161,29.01
2023-06-01 01:18:30,315,1.12,0.101,1.098,29.1
2023-06-01 01:18:45,316,1.117,0.05,0.981,28.95
2023-06-01 01:19:00,317,1.131,0.108,1.136,28.95
2023-06-01 01:19:15,318,1.11,0.103,1.253,29.0
2023-06-01 01:19:30,319,1.12,0.075,1.142,28.64
2023-06-01 01:19:45,320,1.109,0.079,1.069,28.83
2023-06-01 01:20:00,321,1.116,0.099,1.043,29.02
2023-06-01 01:20:15,322,1.136,0.098,1.133,29.06
2023-06-01 01:20:30,323,1.125,0.072,1.176,28.91
2023-06-01 01:20:45,324,1.129,0.078,1.072,29.04
2023-06-01 01:21:00,325,1.118,0.128,1.15,28.7
2023-06-01 01:21:15,326,1.124,0.078,1.07,29.04
2023-06-01 01:21:30,327,1.135,0.082,1.143,29.13
2023-06-01 01:21:45,328,1.117,0.086,1.109,29.04
2023-06-01 01:22:00,329,1.097,0.058,1.208,29.05
2023-06-01 01:22:15,330,1.13,0.088,1.07,28.89
2023-06-01 01:22:30,331,1.128,0.079,1.069,28.89
2023-06-01 01:22:45,332,1.127,0.041,1.118,29.02
2023-06-01 01:23:00,333,1.129,0.103,1.155,29.14
2023-06-01 01:23:15,334,1.117,0.046,1.049,29.19
2023-06-01 01:23:30,335,1.137,0.096,0.997,29.16
2023-06-01 01:23:45,336,1.139,0.071,1.085,29.1
2023-06-01 01:24:00,337,1.128,0.114,1.157,28.89
2023-06-01 01:24:15,338,1.12,0.084,1.095,29.02
2023-06-01 01:24:30,339,1.125,0.065,1.148,29.2
2023-06-01 01:24:45,340,1.126,0.086,1.096,28.85
2023-06-01 01:25:00,341,1.126,0.115,1.16,28.75
2023-06-01 01:25:15,342,1.11,0.089,1.044,28.77
2023-06-01 01:25:30,343,1.134,0.06,1.207,29.04
2023-06-01 01:25:45,344,1.132,0.105,1.087,29.08
2023-06-01 01:26:00,345,1.133,0.075,1.14,29.19
2023-06-01 01:26:15,346,1.114,0.085,1.048,29.09
2023-06-01 01:26:30,347,1.116,0.084,1.147,29.17
2023-06-01 01:26:45,348,1.108,0.057,1.228,29.19
2023-06-01 01:27:00,349,1.112,0.094,1.169,29.3
2023-06-01 01:27:15,350,1.12,0.085,1.021,28.87
2023-06-01 01:27:30,351,1.131,0.089,1.177,28.99
2023-06-01 01:27:45,352,1.119,0.052,1.072,29.01
2023-06-01 01:28:00,353,1.105,0.025,1.117,29.31
2023-06-01 01:28:15,354,1.118,0.042,1.079,29.06
2023-06-01 01:28:30,355,1.14,0.125,1.19,29.09
2023-06-01 01:28:45,356,1.151,0.106,1.051,28.9
2023-06-01 01:29:00,357,1.138,0.057,1.132,29.21
2023-06-01 01:29:15,358,1.128,0.073,1.111,29.1
2023-06-01 01:29:30,359,1.137,0.113,1.133,29.1
2023-06-01 01:29:45,360,1.113,0.048,1.081,29.11
2023-06-01 01:30:00,361,1.119,0.07,1.144,29.2
2023-06-01 01:30:15,362,1.127,0.094,1.109,28.93
2023-06-01 01:30:30,363,1.094,0.075,1.148,29.04
2023-06-01 01:30:45,364,1.109,0.105,1.075,28.93
2023-06-01 01:31:00,365,1.105,0.104,1.129,28.99
2023-06-01 01:31:15,366,1.128,0.069,1.204,29.08
2023-06-01 01:31:30,367,1.131,0.1,1.175,28.8
2023-06-01 01:31:45,368,1.12,0.081,1.197,28.89
2023-06-01 01:32:00,369,1.113,0.11,1.081,29.26
2023-06-01 01:32:15,370,1.111,0.069,1.152,28.89
2023-06-01 01:32:30,371,1.111,0.066,1.099,29.16
2023-06-01 01:32:45,372,1.132,0.098,1.072,28.85
2023-06-01 01:33:00,373,1.133,0.089,1.111,29.03
2023-06-01 01:33:15,374,1.117,0.124,1.304,28.98
2023-06-01 01:33:30,375,1.118,0.059,1.034,28.81
2023-06-01 01:33:45,376,1.128,0.109,1.056,29.1
2023-06-01 01:34:00,377,1.118,0.114,1.03,28.87
2023-06-01 01:34:15,378,1.115,0.099,1.087,28.93
2023-06-01 01:34:30,379,1.103,0.101,1.125,28.73
2023-06-01 01:34:45,380,1.114,0.051,1.184,28.95
2023-06-01 01:35:00,381,1.133,0.086,1.063,28.73
2023-06-01 01:35:15,382,1.122,0.058,1.202,29.08
2023-06-01 01:35:30,383,1.129,0.111,1.1,28.84
2023-06-01 01:35:45,384,1.116,0.068,1.098,28.96
2023-06-01 01:36:00,385,1.108,0.087,1.104,29.02
2023-06-01 01:36:15,386,1.138,0.107,1.171,29.13
2023-06-01 01:36:30,387,1.118,0.075,1.073,28.8
2023-06-01 01:36:45,388,1.097,0.082,1.07,29.03
2023-06-01 01:37:00,389,1.113,0.06,1.071,29.12
2023-06-01 01:37:15,390,1.126,0.062,1.027,28.89
2023-06-01 01:37:30,391,1.113,0.062,1.157,28.8
2023-06-01 01:37:45,392,1.135,0.076,1.118,28.87
2023-06-01 01:38:00,393,1.124,0.081,1.141,28.91
2023-06-01 01:38:15,394,1.116,0.093,1.174,28.74
2023-06-01 01:38:30,395,1.13,0.085,1.089,28.9
2023-06-01 01:38:45,396,1.158,0.117,1.077,29.2
2023-06-01 01:39:00,397,1.12,0.107,1.116,28.89
2023-06-01 01:39:15,398,1.132,0.078,1.271,29.13
2023-06-01 01:39:30,399,1.136,0.121,1.08,28.94
2023-06-01 01:39:45,400,1.118,0.092,1.133,28.76
2023-06-01 01:40:00,401,1.103,0.102,1.073,28.65
2023-06-01 01:40:15,402,1.125,0.079,1.196,28.46
2023-06-01 01:40:30,403,1.117,0.082,1.128,29.17
2023-06-01 01:40:45,404,1.107,0.086,1.21,28.88
2023-06-01 01:41:00,405,1.136,0.097,1.216,28.9
2023-06-01 01:41:15,406,1.109,0.069,1.103,28.94
2023-06-01 01:41:30,407,1.102,0.109,1.062,28.77
2023-06-01 01:41:45,408,1.114,0.087,1.195,28.89
2023-06-01 01:42:00,409,1.123,0.115,1.13,28.96
2023-06-01 01:42:15,410,1.099,0.106,1.136,28.84
2023-06-01 01:42:30,411,1.124,0.103,1.135,28.66
2023-06-01 01:42:45,412,1.129,0.094,1.051,28.71
2023-06-01 01:43:00,413,1.123,0.093,1.189,28.94
2023-06-01 01:43:15,414,1.103,0.086,1.116,29.14
2023-06-01 01:43:30,415,1.106,0.104,1.147,28.83
2023-06-01 01:43:45,416,1.106,0.115,1.093,28.97
2023-06-01 01:44:00,417,1.095,0.101,1.057,28.57
2023-06-01 01:44:15,418,1.118,0.061,1.097,28.67
2023-06-01 01:44:30,419,1.121,0.086,1.203,29.13
2023-06-01 01:44:45,420,1.138,0.074,1.068,28.81
2023-06-01 01:45:00,421,1.129,0.077,0.969,28.82
2023-06-01 01:45:15,422,1.125,0.07,1.085,28.89
2023-06-01 01:45:30,423,1.114,0.098,1.186,28.81
2023-06-01 01:45:45,424,1.105,0.06,1.24,28.91
2023-06-01 01:46:00,425,1.123,0.083,1.109,28.66
2023-06-01 01:46:15,426,1.148,0.098,1.197,28.74
2023-06-01 01:46:30,427,1.136,0.091,1.147,28.94
2023-06-01 01:46:45,428,1.099,0.084,1.111,28.78
2023-06-01 01:47:00,429,1.093,0.105,1.058,28.93
2023-06-01 01:47:15,430,1.124,0.091,1.166,28.9
2023-06-01 01:47:30,431,1.127,0.079,1.071,28.73
2023-06-01 01:47:45,432,1.12,0.064,1.159,28.97
2023-06-01 01:48:00,433,1.127,0.099,1.128,29.12
2023-06-01 01:48:15,434,1.131,0.08,1.034,28.84
2023-06-01 01:48:30,435,1.113,0.054,0.944,28.99
2023-06-01 01:48:45,436,1.111,0.085,1.181,28.89
2023-06-01 01:49:00,437,1.137,0.098,1.103,28.66
2023-06-01 01:49:15,438,1.114,0.088,1.037,28.71
2023-06-01 01:49:30,439,1.143,0.101,1.059,28.95
2023-06-01 01:49:45,440,1.12,0.097,1.112,28.68
2023-06-01 01:50:00,441,1.119,0.078,1.142,29.16
2023-06-01 01:50:15,442,1.137,0.089,1.083,28.82
2023-06-01 01:50:30,443,1.113,0.142,1.124,28.95
2023-06-01 01:50:45,444,1.118,0.091,1.117,28.95
2023-06-01 01:51:00,445,1.151,0.083,1.145,28.75
2023-06-01 01:51:15,446,1.14,0.062,1.111,28.77
2023-06-01 01:51:30,447,1.114,0.058,1.229,28.68
2023-06-01 01:51:45,448,1.11,0.084,1.135,28.97
2023-06-01 01:52:00,449,1.111,0.09,1.098,28.91
2023-06-01 01:52:15,450,1.098,0.087,1.107,28.59
